"SA25N Total Full-Time and Part-Time Employment by NAICS Industry 1/"
"Total employment (number of jobs)" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"00000","United States",158481200,161531300,165370800,165522200,165095100,165921500,168839700,172338400,175868600,179543700,179213900,173636700,172901700,176091700,178979700,182325100,186235800,190317800,193368900,196132200
"01000","Alabama",2361892,2378217,2392225,2376053,2364828,2371430,2425649,2486833,2545556,2604078,2582591,2479507,2460298,2497933,2503678,2523338,2552891,2588248,2620993,2652406
"02000","Alaska",382166,381307,389734,394565,402187,405621,413864,421419,431320,439825,443538,442447,443904,450364,459222,461110,461396,461471,457066,454094
"04000","Arizona",2616288,2695892,2801510,2829002,2847095,2917121,3041476,3219820,3375218,3465075,3402808,3228493,3181571,3239045,3295537,3371219,3448834,3548679,3646813,3727687
"05000","Arkansas",1445536,1460374,1482449,1482587,1478929,1482035,1505095,1537680,1567682,1582858,1579283,1542944,1541272,1561948,1565142,1569249,1587285,1610206,1628582,1640722
"06000","California",18432865,18852334,19228895,19341458,19358164,19478671,19784145,20126877,20505187,20888396,20654292,19837628,19642444,19986021,20666908,21319995,21998371,22688560,23169071,23584800
"08000","Colorado",2732491,2808435,2918002,2941583,2916941,2908619,2958379,3036666,3109368,3217961,3251097,3164426,3143637,3204078,3262925,3356175,3466084,3571903,3664707,3743025
"09000","Connecticut",2036825,2070018,2118177,2125253,2117734,2112290,2144331,2171980,2202108,2245720,2256043,2196161,2171933,2206269,2223221,2246561,2266473,2288407,2300577,2314217
"10000","Delaware",476426,491018,503458,502735,500640,504099,518103,528674,537109,544949,544911,525634,522400,530400,534261,544797,556560,568893,578770,584066
"11000","District of Columbia",698434,711478,735304,741793,757415,754602,763470,769796,777525,788410,794912,795912,809137,826761,834413,848226,860488,872926,891169,899124
"12000","Florida",8317201,8577884,8881279,8938947,9055715,9283397,9644326,10067189,10383866,10531260,10269499,9841883,9805154,10036634,10249024,10539255,10937681,11366550,11673432,11912889
"13000","Georgia",4607959,4728750,4860810,4871814,4858288,4895247,5021690,5195833,5358038,5490688,5450887,5247022,5211352,5325616,5384572,5496783,5670393,5831465,5970472,6083808
"15000","Hawaii",738175,738111,749439,752548,757721,773638,797263,819997,842413,864625,858402,829897,824460,835012,849156,868122,882801,901144,912896,921881
"16000","Idaho",732684,747188,776910,783399,791311,800913,825327,861524,899832,929495,921093,880480,868718,878541,883148,902866,925190,948708,975802,1002052
"17000","Illinois",7139373,7218569,7357491,7309738,7217677,7191486,7244982,7334790,7448603,7577634,7553059,7304316,7251002,7376100,7434661,7503158,7613440,7748492,7798813,7864869
"18000","Indiana",3543278,3596542,3648148,3588944,3553215,3552205,3593283,3634815,3674399,3720040,3682931,3523018,3525335,3590196,3642334,3684125,3740889,3796128,3847454,3892885
"19000","Iowa",1877486,1896080,1915254,1902198,1879713,1873330,1902227,1933919,1965778,1994031,1997615,1959142,1950444,1975960,1993430,2019480,2038927,2059531,2066639,2070488
"20000","Kansas",1723552,1740420,1760312,1767601,1746077,1733694,1750876,1765650,1795507,1844355,1858069,1813184,1801873,1819044,1841393,1869054,1896042,1911112,1916820,1923407
"21000","Kentucky",2223896,2264164,2306481,2283616,2263430,2273325,2300593,2337821,2374830,2414908,2402591,2325249,2325921,2368202,2389363,2407562,2439839,2473126,2497911,2520748
"22000","Louisiana",2336386,2352801,2388668,2397993,2399216,2418747,2434481,2397386,2413797,2501135,2550836,2529953,2536560,2564944,2601174,2641657,2683615,2694755,2689751,2697447
"23000","Maine",748614,762975,784039,787577,790609,794507,807625,809353,817622,828212,823517,800501,791331,794389,796903,803641,811156,816944,826971,835702
"24000","Maryland",2935441,3007654,3092125,3119857,3156648,3191309,3247756,3310820,3378396,3440607,3430882,3359485,3345423,3394831,3438880,3493921,3537998,3603329,3656550,3697398
"25000","Massachusetts",3896096,3962492,4070320,4075959,4021589,3991991,4028638,4071326,4110415,4202942,4215669,4115997,4115539,4175311,4253327,4353568,4448624,4631712,4710176,4777678
"26000","Michigan",5383530,5485654,5621494,5526201,5466159,5441706,5467568,5491738,5457450,5457408,5337644,5046501,5038194,5165348,5234473,5323762,5413025,5502276,5577377,5646377
"27000","Minnesota",3189396,3256931,3330936,3347326,3337706,3346994,3390372,3448135,3495705,3540491,3526499,3424435,3408753,3469201,3505578,3556487,3605742,3665457,3701715,3751766
