"Gross domestic product (GDP) by state (millions of current dollars)"
"Levels" 
"Bureau of Economic Analysis" 
""
"Fips","Area","IndCode","Industry","2005:Q1","2005:Q2","2005:Q3","2005:Q4","2006:Q1","2006:Q2","2006:Q3","2006:Q4","2007:Q1","2007:Q2","2007:Q3","2007:Q4","2008:Q1","2008:Q2","2008:Q3","2008:Q4","2009:Q1","2009:Q2","2009:Q3","2009:Q4","2010:Q1","2010:Q2","2010:Q3","2010:Q4","2011:Q1","2011:Q2","2011:Q3","2011:Q4","2012:Q1","2012:Q2","2012:Q3","2012:Q4","2013:Q1","2013:Q2","2013:Q3","2013:Q4","2014:Q1","2014:Q2","2014:Q3","2014:Q4","2015:Q1","2015:Q2","2015:Q3","2015:Q4","2016:Q1","2016:Q2","2016:Q3","2016:Q4","2017:Q1","2017:Q2","2017:Q3","2017:Q4","2018:Q1"
"00000","United States","1","All industry total",12736291,12896006,13126480,13301844,13567564,13717577,13825350,13982428,14147927,14336405,14482806,14597471,14578856,14722003,14750202,14455348,14287426,14242156,14284750,14466139,14579073,14784619,14952355,15123078,15128719,15349070,15474084,15672175,15860001,16008016,16113941,16183016,16360908,16426749,16634711,16884585,16915697,17205444,17506998,17621095,17760558,17979521,18114487,18174262,18213023,18425046,18614158,18787774,18934863,19123619,19371498,19623421,19828567
"00000","United States","2","  Private industries",11108702,11255828,11469681,11630952,11867770,12000493,12088128,12225409,12356901,12528769,12654383,12749510,12698222,12822436,12827860,12516212,12337256,12277731,12312673,12484269,12568053,12747020,12911587,13079407,13080044,13289142,13410950,13613660,13783396,13928405,14028574,14089806,14261073,14322181,14527630,14762978,14775634,15051764,15336910,15434178,15557407,15757215,15875511,15914970,15946465,16143274,16319437,16489416,16614453,16792558,17027498,17269235,17459099
"00000","United States","3","      Agriculture, forestry, fishing, and hunting",129116,129700,129232,126234,123268,126870,130169,133078,140721,136678,139014,151584,165140,158589,149507,144863,130316,132240,137955,150120,149339,156327,164048,171151,197945,192318,200378,198324,188993,184405,180226,189574,230408,226443,225678,204755,200215,215163,199622,202614,180972,183317,192576,182296,180484,182065,175609,172160,179022,174483,171161,169114,170127
"00000","United States","6","      Mining, quarrying, and oil and gas extraction",197570,211438,233826,263751,268233,273125,277486,274778,280897,313939,319191,342046,362944,436859,443445,362581,301473,275880,280006,304035,329579,319478,326551,351274,368143,402291,402566,421530,417973,403496,403861,418433,430872,446742,468290,457568,471041,494104,498677,458533,355888,358876,319596,276162,234551,254650,265217,287953,311079,321200,326009,361468,368707
"00000","United States","10","      Utilities",195184,192996,203485,213742,223399,229910,235233,231450,232162,237026,239202,231907,222079,237402,246426,244150,256532,246350,243881,256378,267397,263210,267778,269561,260551,273680,274044,279871,256200,265011,266532,263666,271422,269471,265204,270558,283248,277490,280637,280942,284238,280982,287131,279281,281901,282576,290893,292984,288993,296627,294280,300116,302980
"00000","United States","11","      Construction",631084,646391,665914,673029,700067,700263,693016,699567,713733,721586,719546,705088,670524,655685,645325,640402,606301,580832,570516,551533,533281,543343,544791,545053,528734,542614,552756,562354,575309,582456,584576,592244,605388,611214,626637,639880,653534,665699,680551,697930,710146,733645,753246,762617,783722,785707,794974,805630,815191,818560,827505,843328,859200
"00000","United States","12","      Manufacturing",1681311,1679406,1715191,1740784,1789106,1809013,1805602,1813164,1805377,1863936,1872052,1875956,1814539,1832477,1844838,1764627,1711022,1699522,1724641,1771665,1784261,1814188,1848289,1875602,1864719,1899002,1914398,1951132,1965656,1991351,2002608,1974955,2028157,2003840,2024396,2084313,2056064,2098598,2149520,2141808,2166533,2179869,2207315,2186218,2166369,2183557,2187037,2194847,2206255,2218594,2252046,2300209,2330239
"00000","United States","13","          Durable goods manufacturing",947377,950023,963696,976795,1005485,1005478,995580,1014894,1010215,1029966,1046724,1033235,1009200,1006384,998652,963540,891668,861673,858853,884900,903027,947319,980683,995353,990682,991029,1000562,1033105,1039832,1059254,1058090,1055954,1076039,1073811,1088740,1105434,1096694,1114315,1148164,1150705,1166196,1168636,1173400,1180105,1168178,1174634,1181472,1187159,1196403,1204845,1224433,1242756,1255705
"00000","United States","25","          Nondurable goods manufacturing",733934,729383,751495,763989,783622,803536,810022,798270,795162,833969,825328,842721,805339,826092,846186,801087,819354,837848,865788,886765,881233,866869,867606,880250,874037,907972,913837,918027,925824,932097,944518,919000,952119,930029,935656,978880,959369,984283,1001356,991103,1000338,1011233,1033915,1006113,998191,1008923,1005565,1007688,1009852,1013749,1027613,1057452,1074535
"00000","United States","34","      Wholesale trade",747324,750357,763889,775905,796904,811877,822404,831515,850442,861228,862451,869251,870558,882389,886991,871316,828839,811806,814003,836734,844443,861545,884318,883571,886396,904575,906655,931402,946058,957977,969546,976520,984906,987875,1008416,1025224,1020200,1042626,1072936,1082289,1091336,1100274,1098476,1101325,1094634,1097557,1106168,1112213,1125420,1143928,1161924,1183053,1184779
