"SQ1 Personal Income Summary: Personal Income, Population, Per Capita Personal Income"
"Population (number of persons) 1/" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","1998:Q1","1998:Q2","1998:Q3","1998:Q4","1999:Q1","1999:Q2","1999:Q3","1999:Q4","2000:Q1","2000:Q2","2000:Q3","2000:Q4","2001:Q1","2001:Q2","2001:Q3","2001:Q4","2002:Q1","2002:Q2","2002:Q3","2002:Q4","2003:Q1","2003:Q2","2003:Q3","2003:Q4","2004:Q1","2004:Q2","2004:Q3","2004:Q4","2005:Q1","2005:Q2","2005:Q3","2005:Q4","2006:Q1","2006:Q2","2006:Q3","2006:Q4","2007:Q1","2007:Q2","2007:Q3","2007:Q4","2008:Q1","2008:Q2","2008:Q3","2008:Q4","2009:Q1","2009:Q2","2009:Q3","2009:Q4","2010:Q1","2010:Q2","2010:Q3","2010:Q4","2011:Q1","2011:Q2","2011:Q3","2011:Q4","2012:Q1","2012:Q2","2012:Q3","2012:Q4","2013:Q1","2013:Q2","2013:Q3","2013:Q4","2014:Q1","2014:Q2","2014:Q3","2014:Q4","2015:Q1","2015:Q2","2015:Q3","2015:Q4","2016:Q1","2016:Q2","2016:Q3","2016:Q4","2017:Q1","2017:Q2","2017:Q3","2017:Q4","2018:Q1","2018:Q2"
"00000","United States","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",308468490,309043711,309677277,310305686,310827471,311351134,311978225,312609807,313161030,313699036,314337525,314969937,315448736,315945536,316571150,317231725,317777909,318323581,318987604,319664111,320191522,320735773,321385409,322036743,322555224,323101010,323736332,324367820,324889111,325416675,326055478,326686447,327202362,327734318
"01000","Alabama","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",4777056,4782812,4787958,4792034,4794518,4796958,4801140,4805606,4809008,4812069,4816603,4821092,4823284,4825800,4829798,4833874,4836245,4838522,4842326,4846127,4847685,4849499,4852803,4856140,4857418,4859181,4862950,4867344,4870016,4872773,4877260,4881664,4884193,4886924
"02000","Alaska*","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",708451,712138,715138,717270,719235,721207,723403,725607,727693,729748,731690,733305,734656,736000,736802,736924,736847,736755,737020,737470,737638,737825,738500,739458,740215,741041,741367,741027,740491,739976,739686,739393,738852,738333
"04000","Arizona","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",6385010,6399531,6415516,6431375,6444837,6458180,6476359,6497168,6516004,6534455,6554707,6574368,6590625,6607060,6628395,6652524,6673991,6695272,6719954,6745633,6767917,6790370,6816793,6844867,6869880,6895277,6923129,6951333,6976991,7002630,7031237,7060102,7085993,7111985
"05000","Arkansas","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",2913215,2918848,2924320,2929025,2932705,2936464,2940330,2943365,2945674,2947879,2950746,2953306,2954387,2955714,2958137,2960734,2962232,2963789,2966723,2970129,2972067,2974233,2977650,2981367,2983800,2986550,2990600,2995129,2998579,3002137,3006748,3011302,3014688,3018245
"06000","California","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",37210670,37290427,37377032,37470491,37551300,37629992,37721349,37814232,37896779,37976348,38068249,38160178,38234228,38306959,38396332,38492911,38576125,38657614,38750307,38842136,38917134,38991865,39071590,39145093,39203514,39263415,39331664,39397947,39451918,39505702,39571374,39635631,39688165,39741997
"08000","Colorado","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",5020517,5038584,5057372,5075196,5091321,5107687,5125763,5143876,5160682,5177480,5196853,5216979,5234642,5252812,5273098,5293984,5313009,5332238,5355572,5381185,5404375,5428048,5452426,5475709,5496869,5518662,5540337,5560359,5578671,5597222,5617451,5637379,5655679,5674446
"09000","Connecticut","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",3572520,3577092,3582271,3585817,3588076,3590400,3593126,3595081,3596066,3596965,3599044,3601046,3601237,3601736,3602634,3602793,3601609,3600465,3600124,3599349,3596855,3594605,3593668,3592811,3590440,3588345,3588225,3588947,3588430,3587975,3588745,3589372,3588716,3588236
"10000","Delaware","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",897024,898828,900879,903106,905011,906876,909122,911505,913682,915764,918087,920370,922212,924070,926448,929073,931379,933606,936166,938719,940838,942959,945337,947690,949626,951607,953991,956507,958629,960759,963260,965793,967905,970048
"11000","District of Columbia","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",600265,603409,607062,611005,614744,618432,622341,626239,630026,633721,637573,641319,644788,648277,651516,654295,656893,659463,662407,665535,668397,671254,674282,677260,680025,682858,685617,688130,690403,692728,695289,697838,700127,702479
