state,period,amount
Alabama,Jan-76,6.7
Alaska,Jan-76,7.1
Arizona,Jan-76,10.3
Arkansas,Jan-76,7.4
California,Jan-76,9.1
Colorado,Jan-76,5.5
Connecticut,Jan-76,9.8
Delaware,Jan-76,7.7
Washington D.C.,Jan-76,9
Florida,Jan-76,9.6
Georgia,Jan-76,8.4
Hawaii,Jan-76,10.1
Idaho,Jan-76,5.5
Illinois,Jan-76,6.7
Indiana,Jan-76,6.5
Iowa,Jan-76,4.2
Kansas,Jan-76,4.3
Kentucky,Jan-76,5.6
Louisiana,Jan-76,6.3
Maine,Jan-76,8.8
Maryland,Jan-76,6.5
Massachusetts,Jan-76,10.3
Michigan,Jan-76,9.9
Minnesota,Jan-76,6
Mississippi,Jan-76,6.7
Missouri,Jan-76,6
Montana,Jan-76,5.9
Nebraska,Jan-76,3.3
Nevada,Jan-76,8.9
New Hampshire,Jan-76,6.8
New Jersey,Jan-76,10.3
New Mexico,Jan-76,8.9
New York,Jan-76,10.3
North Carolina,Jan-76,6.5
North Dakota,Jan-76,3.3
Ohio,Jan-76,8.1
Oklahoma,Jan-76,5.9
Oregon,Jan-76,9.7
Pennsylvania,Jan-76,8.1
Rhode Island,Jan-76,8.1
South Carolina,Jan-76,7.6
South Dakota,Jan-76,3.2
Tennessee,Jan-76,6
Texas,Jan-76,5.8
Utah,Jan-76,5.8
Vermont,Jan-76,8.7
Virginia,Jan-76,5.9
Washington,Jan-76,8.7
West Virginia,Jan-76,7.8
Wisconsin,Jan-76,5.8
Wyoming,Jan-76,4.1
Alabama,Feb-76,6.7
Alaska,Feb-76,7.1
Arizona,Feb-76,10.3
Arkansas,Feb-76,7.4
California,Feb-76,9.1
Colorado,Feb-76,5.5
Connecticut,Feb-76,9.8
Delaware,Feb-76,7.7
Washington D.C.,Feb-76,9
Florida,Feb-76,9.6
Georgia,Feb-76,8.4
Hawaii,Feb-76,10.2
Idaho,Feb-76,5.4
Illinois,Feb-76,6.7
Indiana,Feb-76,6.5
Iowa,Feb-76,4.2
Kansas,Feb-76,4.3
Kentucky,Feb-76,5.6
Louisiana,Feb-76,6.3
Maine,Feb-76,8.8
Maryland,Feb-76,6.5
Massachusetts,Feb-76,10.3
Michigan,Feb-76,9.9
Minnesota,Feb-76,6
Mississippi,Feb-76,6.7
Missouri,Feb-76,6
Montana,Feb-76,5.9
Nebraska,Feb-76,3.3
Nevada,Feb-76,9
New Hampshire,Feb-76,6.8
New Jersey,Feb-76,10.2
New Mexico,Feb-76,8.9
New York,Feb-76,10.3
North Carolina,Feb-76,6.5
North Dakota,Feb-76,3.3
Ohio,Feb-76,8.1
Oklahoma,Feb-76,5.9
Oregon,Feb-76,9.7
Pennsylvania,Feb-76,8.1
Rhode Island,Feb-76,8.1
South Carolina,Feb-76,7.6
South Dakota,Feb-76,3.2
Tennessee,Feb-76,6
Texas,Feb-76,5.9
Utah,Feb-76,5.8
Vermont,Feb-76,8.7
Virginia,Feb-76,5.9
Washington,Feb-76,8.7
West Virginia,Feb-76,7.9
Wisconsin,Feb-76,5.8
Wyoming,Feb-76,4.1
Alabama,Mar-76,6.6
Alaska,Mar-76,7
Arizona,Mar-76,10.2
Arkansas,Mar-76,7.4
California,Mar-76,9
Colorado,Mar-76,5.4
Connecticut,Mar-76,9.8
Delaware,Mar-76,7.7
Washington D.C.,Mar-76,9
Florida,Mar-76,9.5
Georgia,Mar-76,8.4
Hawaii,Mar-76,10.2
Idaho,Mar-76,5.5
Illinois,Mar-76,6.7
Indiana,Mar-76,6.5
Iowa,Mar-76,4.2
Kansas,Mar-76,4.3
Kentucky,Mar-76,5.6
Louisiana,Mar-76,6.3
Maine,Mar-76,8.7
Maryland,Mar-76,6.5
Massachusetts,Mar-76,10.3
Michigan,Mar-76,9.9
Minnesota,Mar-76,5.9
Mississippi,Mar-76,6.6
Missouri,Mar-76,6
Montana,Mar-76,5.8
Nebraska,Mar-76,3.3
Nevada,Mar-76,9
New Hampshire,Mar-76,6.8
New Jersey,Mar-76,10.2
New Mexico,Mar-76,8.9
New York,Mar-76,10.2
North Carolina,Mar-76,6.4
North Dakota,Mar-76,3.3
Ohio,Mar-76,8.1
Oklahoma,Mar-76,5.9
Oregon,Mar-76,9.6
Pennsylvania,Mar-76,8.1
Rhode Island,Mar-76,8.1
South Carolina,Mar-76,7.5
South Dakota,Mar-76,3.1
Tennessee,Mar-76,6
Texas,Mar-76,5.9
Utah,Mar-76,5.8
Vermont,Mar-76,8.7
Virginia,Mar-76,5.9
Washington,Mar-76,8.7
West Virginia,Mar-76,7.9
Wisconsin,Mar-76,5.7
Wyoming,Mar-76,4.2
Alabama,Apr-76,6.5
Alaska,Apr-76,7
Arizona,Apr-76,10
Arkansas,Apr-76,7.3
California,Apr-76,9
Colorado,Apr-76,5.4
Connecticut,Apr-76,9.7
Delaware,Apr-76,8
Washington D.C.,Apr-76,8.8
Florida,Apr-76,9.3
Georgia,Apr-76,8.2
Hawaii,Apr-76,10.1
Idaho,Apr-76,5.5
Illinois,Apr-76,6.6
Indiana,Apr-76,6.3
Iowa,Apr-76,4.1
Kansas,Apr-76,4.3
Kentucky,Apr-76,5.5
Louisiana,Apr-76,6.4
Maine,Apr-76,8.7
Maryland,Apr-76,6.5
Massachusetts,Apr-76,10.2
Michigan,Apr-76,9.8
Minnesota,Apr-76,5.8
Mississippi,Apr-76,6.4
Missouri,Apr-76,6
Montana,Apr-76,5.9
Nebraska,Apr-76,3.2
Nevada,Apr-76,8.9
New Hampshire,Apr-76,6.7
New Jersey,Apr-76,10.3
New Mexico,Apr-76,8.9
New York,Apr-76,10.2
North Carolina,Apr-76,6.3
North Dakota,Apr-76,3.4
Ohio,Apr-76,8
Oklahoma,Apr-76,5.9
Oregon,Apr-76,9.4
Pennsylvania,Apr-76,8.2
Rhode Island,Apr-76,8.1
South Carolina,Apr-76,7.3
South Dakota,Apr-76,3.1
Tennessee,Apr-76,5.9
Texas,Apr-76,5.9
Utah,Apr-76,5.7
Vermont,Apr-76,8.7
Virginia,Apr-76,5.8
Washington,Apr-76,8.7
West Virginia,Apr-76,7.9
Wisconsin,Apr-76,5.6
Wyoming,Apr-76,4.1
Alabama,May-76,6.4
Alaska,May-76,7
Arizona,May-76,9.8
Arkansas,May-76,7.2
California,May-76,8.9
Colorado,May-76,5.5
Connecticut,May-76,9.6
Delaware,May-76,8.4
Washington D.C.,May-76,8.7
Florida,May-76,9.1
Georgia,May-76,8.1
Hawaii,May-76,9.9
Idaho,May-76,5.6
Illinois,May-76,6.5
Indiana,May-76,6
Iowa,May-76,4
Kansas,May-76,4.2
Kentucky,May-76,5.5
Louisiana,May-76,6.6
Maine,May-76,8.6
Maryland,May-76,6.6
Massachusetts,May-76,9.9
Michigan,May-76,9.6
Minnesota,May-76,5.7
Mississippi,May-76,6.2
Missouri,May-76,6.1
Montana,May-76,5.9
Nebraska,May-76,3.1
