"Gross domestic product (GDP) by state (millions of current dollars)"
"Levels" 
"Bureau of Economic Analysis" 
""
"Fips","Area","IndCode","Industry","2005:Q1","2005:Q2","2005:Q3","2005:Q4","2006:Q1","2006:Q2","2006:Q3","2006:Q4","2007:Q1","2007:Q2","2007:Q3","2007:Q4","2008:Q1","2008:Q2","2008:Q3","2008:Q4","2009:Q1","2009:Q2","2009:Q3","2009:Q4","2010:Q1","2010:Q2","2010:Q3","2010:Q4","2011:Q1","2011:Q2","2011:Q3","2011:Q4","2012:Q1","2012:Q2","2012:Q3","2012:Q4","2013:Q1","2013:Q2","2013:Q3","2013:Q4","2014:Q1","2014:Q2","2014:Q3","2014:Q4","2015:Q1","2015:Q2","2015:Q3","2015:Q4","2016:Q1","2016:Q2","2016:Q3","2016:Q4","2017:Q1","2017:Q2","2017:Q3","2017:Q4","2018:Q1"
"01000","Alabama","1","All industry total",153332,155940,157437,160293,161934,163974,165470,166495,166821,169261,171456,172156,171941,174068,174268,170307,168708,167954,168176,168420,170249,173562,177097,177933,176898,179679,181916,184166,185386,187043,185204,185881,189436,189037,191125,191678,189855,193038,196549,196423,197189,199563,201277,201187,201898,204140,204389,206378,208970,209810,211134,213903,215898
"01000","Alabama","2","  Private industries",128267,130672,131996,134546,136083,137404,139182,139145,138618,140828,142865,142914,142817,144589,144406,140048,138130,136632,136693,137117,138659,141486,144909,146039,144670,147243,149287,151525,152672,154692,153130,153483,157383,156871,158960,159346,157187,160245,163474,163175,163680,165696,167133,167104,167740,169726,169904,171612,173692,174324,176296,178833,180571
"01000","Alabama","3","      Agriculture, forestry, fishing, and hunting",2681,2655,2617,2634,2013,2126,2206,2184,1915,1922,1959,1797,2302,2052,1817,1750,2214,2132,2158,2161,1815,2188,2492,2615,1962,1857,1842,1591,2570,2176,1783,1677,3028,3072,4428,2984,2670,2885,2817,2886,2795,2807,2822,2583,2506,2452,2189,2079,2625,2428,2294,2288,2300
"01000","Alabama","6","      Mining, quarrying, and oil and gas extraction",2440,2639,2789,3151,2964,2841,2917,2909,3138,3464,3559,3626,3696,4412,4381,3593,3106,2885,2896,3204,3681,3305,3485,3484,3496,3624,3295,3756,3487,3538,3420,3371,3479,3348,3275,2888,2952,2957,2952,2945,2647,3278,3282,2741,2100,2184,2304,2492,3069,3388,3379,3729,3785
"01000","Alabama","10","      Utilities",3598,3769,4046,4016,4413,4319,4569,4373,4453,4669,4786,4522,4267,4545,4985,4890,5101,4772,4821,5122,4817,5270,5665,5840,5227,5462,5646,5800,5132,5459,5070,4773,5148,5134,4881,4971,4495,5134,5203,5761,5054,5350,5437,5396,5241,5498,5856,5457,5296,4888,5737,5832,5851
"01000","Alabama","11","      Construction",7473,7635,7775,8142,8371,8545,8548,8473,8999,9101,9205,9337,8786,8500,8466,8190,7958,7757,7481,7154,7207,7101,7133,6845,6845,6895,6851,7117,7257,7307,7201,7261,7174,7129,7080,7031,7080,7000,7101,7237,7102,7234,7398,7394,7930,7665,7574,7752,8091,7622,7852,7997,8113
"01000","Alabama","12","      Manufacturing",27884,27759,28106,29185,29739,30121,29791,29262,28572,29349,29548,29589,29374,29579,29385,27451,25487,25003,25274,25780,26175,26926,28424,28856,29835,30645,31318,32288,32178,32887,32630,32804,34215,34157,34305,34944,34880,34996,35562,35100,35005,34984,35443,35335,35814,35808,35464,35397,36260,35601,36516,37213,37619
"01000","Alabama","13","          Durable goods manufacturing",16598,16862,17092,18033,18404,18513,18298,18114,17479,17791,18048,18194,18866,19085,18562,16904,14776,13271,13037,13368,14643,15622,16730,16785,17111,16946,17392,18249,18463,19181,19049,19468,20180,20366,20391,20441,20173,20288,20908,20957,21244,21357,21699,21781,22186,22024,21594,21761,22387,21924,22369,22671,22864
"01000","Alabama","25","          Nondurable goods manufacturing",11286,10896,11014,11152,11334,11608,11492,11148,11093,11558,11500,11395,10507,10495,10824,10548,10712,11731,12237,12412,11532,11304,11694,12071,12724,13699,13926,14039,13715,13706,13581,13336,14035,13792,13914,14503,14708,14708,14654,14142,13761,13627,13745,13554,13628,13785,13870,13636,13873,13678,14147,14542,14755
"01000","Alabama","34","      Wholesale trade",8902,9011,9163,9485,9524,9656,9865,9881,9938,10026,9982,10013,10236,10413,10515,10334,9921,9750,9663,9864,9808,10031,10168,10145,9914,10070,10314,10420,10237,10448,10451,10310,10715,10641,10863,11048,10835,10978,11255,11138,11201,11169,11207,11385,11424,11675,11772,12018,11831,12016,12268,12487,12475
"01000","Alabama","35","      Retail trade",11650,11889,11895,12259,12470,12530,12459,12378,12394,12554,12508,12491,11966,12086,12293,12183,11821,11813,11743,12071,12000,12236,12247,12097,12343,12174,12396,12514,12821,12837,12761,12744,12953,12917,13096,13204,13024,13130,13402,13529,13494,13765,14099,14227,14381,14716,14426,14719,14774,14866,14769,14953,15134
"01000","Alabama","36","      Transportation and warehousing",3928,4111,4233,4393,4462,4508,4524,4533,4390,4467,4467,4708,4573,4692,4731,4827,4469,4273,4333,4475,4568,4723,4828,4798,4996,4912,4953,5119,4814,5064,4988,4974,5073,4985,5014,5186,4890,5087,5261,5404,5250,5259,5345,5416,5336,5439,5417,5465,5517,5532,5507,5587,5640
"01000","Alabama","45","      Information",5199,5360,5193,5096,5177,5277,5279,5123,4984,4953,5285,4935,5092,5158,5113,4942,4699,4677,4696,4704,4477,4501,4505,4536,4260,4424,4376,4252,4159,4267,4174,4024,4257,4257,4273,4348,4213,4139,4131,4267,4401,4445,4472,4515,4491,4385,4447,4506,4364,4450,4567,4604,4681
"01000","Alabama","51","      Finance and insurance",9488,9959,9387,9291,9000,9085,9340,9511,8824,8877,9385,8709,9373,8752,7445,6042,7530,7748,7452,7248,7293,7659,7855,8017,6760,7301,7912,8468,8814,9485,9902,9688,9502,9235,9328,9544,10124,10749,10637,10566,10987,11237,10684,10445,10037,10425,10710,11325,10603,10914,11016,11028,11195
"01000","Alabama","56","      Real estate and rental and leasing",14059,14361,14616,14251,14422,14597,15431,16120,16065,16118,16567,16920,16650,17345,17606,17738,18210,17809,18115,17002,18469,18584,18389,18962,19300,19908,19820,19662,20144,19930,19653,20468,19940,19961,20291,20701,20039,20306,21388,20274,21294,21258,21345,21581,22168,22601,22413,22903,23241,23728,23143,23345,23627
"01000","Alabama","60","      Professional, scientific, and technical services",7958,8074,8326,8337,8690,8836,8954,8960,9187,9251,9379,9615,9873,10222,10468,10770,10265,10387,10355,10446,10034,10221,10436,10541,10292,10469,10673,10658,10474,10678,10640,10533,10643,10731,10773,10821,10630,10757,11006,11019,11122,11284,11467,11630,11545,11651,11907,11944,11986,12183,12373,12532,12641
"01000","Alabama","64","      Management of companies and enterprises",1015,1144,1223,1210,1301,1230,1324,1359,1476,1514,1367,1502,1387,1409,1518,1431,1427,1554,1536,1513,1560,1686,1674,1810,1703,1720,1835,1813,1790,1888,1830,1977,1886,1826,1821,1893,1569,1762,1913,1880,1814,1879,1888,1904,2048,2087,2031,2140,2174,2390,2071,2110,2130
"01000","Alabama","65","      Administrative and support and waste management and remediation services",3407,3562,3657,3781,3792,3733,3734,3790,3917,4012,4144,4215,4271,4300,4253,4176,4055,4034,4026,4145,4258,4529,4862,4740,4706,4689,4739,4713,4864,4870,4815,4841,4935,4962,4971,5022,4969,5111,5227,5308,5159,5292,5357,5449,5355,5420,5399,5400,5571,5657,5783,5818,5833
"01000","Alabama","69","      Educational services",669,682,672,695,706,732,738,750,779,810,840,819,817,804,814,846,882,891,907,934,925,941,959,943,955,958,977,964,984,1003,1002,1006,1007,1004,1005,1002,1037,1014,1017,1038,1040,1044,1062,1070,1084,1096,1099,1097,1083,1083,1086,1096,1101
"01000","Alabama","70","      Health care and social assistance",9762,9856,9998,10199,10406,10586,10766,10733,10741,10855,10959,11153,11319,11476,11695,11924,12051,12204,12214,12235,12386,12308,12503,12505,12687,12722,12844,12816,13043,12930,12876,13058,13287,13371,13334,13429,13476,13666,13758,13898,14348,14316,14539,14576,14752,15065,15179,15110,15362,15507,15755,15923,16097
"01000","Alabama","75","      Arts, entertainment, and recreation",540,530,529,537,545,547,555,578,586,607,611,609,596,583,593,614,571,566,596,596,566,563,533,524,553,556,539,517,614,604,594,571,629,620,626,653,645,661,685,692,737,685,713,729,762,776,809,829,794,839,822,807,814
"01000","Alabama","78","      Accommodation and food services",3451,3484,3512,3606,3705,3716,3754,3782,3775,3839,3865,3916,3785,3821,3848,3841,3857,3861,3904,3871,4018,4042,4037,4037,4185,4177,4212,4247,4529,4546,4557,4603,4717,4744,4785,4803,4862,4972,5092,5138,5201,5285,5419,5491,5576,5569,5596,5699,5716,5788,5837,5901,5973
"01000","Alabama","81","      Other services (except government and government enterprises)",4163,4192,4259,4278,4384,4419,4428,4446,4486,4440,4450,4439,4454,4439,4479,4507,4506,4517,4525,4592,4601,4673,4715,4744,4653,4679,4745,4809,4762,4775,4782,4799,4795,4776,4814,4875,4795,4943,5068,5097,5029,5124,5154,5235,5191,5214,5310,5278,5336,5443,5523,5583,5562
"01000","Alabama","82","  Government and government enterprises",25065,25268,25441,25746,25851,26570,26288,27350,28202,28434,28591,29242,29124,29479,29862,30259,30578,31323,31484,31303,31591,32076,32188,31894,32228,32436,32629,32641,32714,32351,32073,32398,32052,32166,32165,32332,32668,32793,33075,33247,33509,33867,34144,34083,34158,34415,34486,34766,35278,35486,34839,35070,35327
"02000","Alaska","1","All industry total",37517,38907,40691,43138,42872,44653,45349,45840,46658,48964,49866,51298,52981,56566,58266,54032,51403,50044,49377,51027,52405,53656,54691,55785,55341,58985,59197,61514,60746,61464,61013,60338,60694,59328,60263,58946,58791,58917,58395,56667,53098,53554,52211,50931,49682,50377,50788,51320,51976,51791,52987,54403,54849
"02000","Alaska","2","  Private industries",29973,31360,33151,35413,35101,36749,37363,37737,38427,40635,41570,43042,44594,48027,49619,45315,42429,40999,40231,41890,43104,44240,45255,46366,45672,49106,49268,51356,50429,51148,50632,50162,50626,49319,50231,48968,48449,48546,48038,46311,42637,43046,41632,40352,39036,39662,40285,40756,41468,41161,42411,43814,44168
"02000","Alaska","3","      Agriculture, forestry, fishing, and hunting",255,306,417,571,463,408,398,391,378,401,399,385,378,385,456,570,475,511,484,406,680,542,490,517,514,626,723,719,658,597,576,561,576,604,610,683,597,579,591,600,635,605,559,565,544,551,563,560,528,515,557,602,582
"02000","Alaska","6","      Mining, quarrying, and oil and gas extraction",8503,9687,10606,12893,12625,13823,14446,14315,14770,16240,16911,17980,19519,22549,23889,18997,16615,15065,14312,15496,16028,17015,17502,18324,18096,21028,20942,22660,21416,21982,21337,20980,20714,19514,19726,18060,17826,17407,16642,14768,10698,10968,9321,8104,6855,7497,7896,8643,9408,9157,9854,10827,10860
"02000","Alaska","10","      Utilities",449,454,465,490,510,535,549,529,522,520,540,517,493,547,575,571,637,596,604,605,649,631,645,665,696,731,729,763,653,660,650,626,667,673,655,672,755,733,735,721,715,717,704,700,690,680,708,704,711,693,703,717,719
"02000","Alaska","11","      Construction",1988,2066,2098,2031,2053,2068,1979,2061,2068,2129,2115,2181,2117,2072,2107,2112,2192,2238,2218,2248,2152,2191,2203,2240,2035,2130,2168,2181,2133,2169,2116,2051,1973,1946,2073,2130,2222,2143,2103,2130,2305,2316,2243,2257,2176,2148,2160,2082,1975,2006,2036,2120,2171
"02000","Alaska","12","      Manufacturing",1327,1230,1341,1355,1411,1451,1416,1484,1478,1629,1619,1633,1409,1361,1374,1440,1393,1630,1545,1405,1285,1168,1108,1058,1062,1058,999,1002,1081,1029,1028,1104,1329,1368,1478,1476,1451,1499,1496,1555,1671,1765,1947,1876,1849,1783,1625,1629,1737,1587,1731,1755,1754
"02000","Alaska","13","          Durable goods manufacturing",164,167,165,158,167,168,167,170,181,186,190,188,185,181,177,188,181,182,195,190,183,175,171,164,166,154,150,158,172,185,194,193,214,202,198,200,183,187,194,206,203,210,222,217,235,217,205,207,209,206,201,202,202
"02000","Alaska","25","          Nondurable goods manufacturing",1164,1062,1176,1197,1245,1283,1249,1314,1296,1444,1429,1445,1223,1180,1197,1252,1212,1447,1349,1216,1102,993,938,893,896,904,849,844,910,843,833,911,1115,1166,1280,1277,1268,1312,1302,1349,1467,1555,1724,1658,1614,1566,1420,1422,1529,1381,1530,1553,1552
"02000","Alaska","34","      Wholesale trade",881,872,937,910,961,996,1006,1033,1044,1050,1086,1092,1107,1117,1094,1114,1028,1035,1023,1048,1065,1103,1148,1159,1133,1121,1152,1149,1174,1143,1151,1162,1218,1228,1245,1272,1205,1269,1291,1311,1284,1268,1285,1282,1260,1279,1263,1259,1236,1256,1270,1283,1267
"02000","Alaska","35","      Retail trade",1861,1866,1907,1898,1892,1891,1893,1897,1896,1907,1915,1912,1856,1865,1902,1987,1934,1975,1993,2052,2024,2052,2047,2051,2044,2054,2072,2097,2085,2110,2111,2138,2140,2126,2161,2176,2143,2183,2244,2290,2272,2298,2359,2374,2371,2394,2335,2340,2359,2374,2363,2363,2369
"02000","Alaska","36","      Transportation and warehousing",3337,3336,3458,3549,3497,3738,3747,3987,4044,4224,4263,4514,4624,4777,4803,4835,4349,4163,4195,4473,4929,5152,5434,5274,5202,5050,4943,5115,5289,5534,5561,5513,5566,5432,5606,5606,5573,5823,5891,5902,5791,5827,5829,5913,5981,5974,6181,5996,6050,6082,6125,6225,6349
"02000","Alaska","45","      Information",1028,1129,1123,1090,1085,1088,1118,1117,1099,1126,1157,1165,1103,1195,1181,1204,971,1119,1085,1071,1081,1035,1067,1037,1106,1202,1121,1109,1219,1158,1187,1150,1261,1266,1297,1339,1240,1263,1241,1265,1408,1396,1383,1403,1405,1365,1409,1388,1312,1289,1317,1317,1334
"02000","Alaska","51","      Finance and insurance",1247,1255,1326,1303,1185,1153,1126,1133,1120,1148,1113,1085,1179,1175,1105,953,1091,1101,1072,1060,1046,1007,999,1068,975,1038,1046,1034,1109,1054,1125,1093,1081,1085,1138,1192,1206,1273,1242,1209,1265,1243,1201,1147,1077,1089,1118,1214,1067,1155,1113,1117,1144
"02000","Alaska","56","      Real estate and rental and leasing",3023,2993,3172,3058,3016,3109,3171,3174,3258,3410,3493,3515,3536,3495,3512,3824,3897,3791,3902,4075,4162,4209,4333,4543,4438,4517,4676,4673,4747,4692,4697,4653,4807,4760,4796,4846,4870,4908,4934,4905,4890,4912,5024,4855,5126,5109,5138,5089,5167,5081,5235,5335,5364
"02000","Alaska","60","      Professional, scientific, and technical services",1251,1267,1295,1289,1285,1314,1324,1361,1384,1413,1462,1530,1584,1674,1711,1736,1791,1723,1716,1719,1775,1787,1841,1867,1866,1926,1976,1993,1946,2000,2003,1973,2002,2001,2052,2069,1990,2019,2049,2041,2052,2015,2000,1971,1880,1865,1826,1810,1841,1816,1793,1800,1830
